title,id,serviceURL,type,numViews,owner,fileStorage,featureStorage,access,tags,isHosted,createdDate,modifiedDate,lastViewed,itemURL,size
$B$1:$I$137,35a166f4713f4a398625ea610226f515,https://services1.arcgis.com/oRKmdBXD6EbdmVgJ/arcgis/rest/services/Z8QKw/FeatureServer,Feature Service,16,KDOT_Lebo,0.0,0.0625,private,"[elections, M4O]",True,2019-03-11,2019-03-11,2024-03-08,https://kanegis.maps.arcgis.com/home/item.html?id=35a166f4713f4a398625ea610226f515,0.0625
$E$1:$P$117,4117b7168a064918832dd3f672ff8fc8,https://services1.arcgis.com/oRKmdBXD6EbdmVgJ/arcgis/rest/services/WB6fd/FeatureServer,Feature Service,33,KDOT_Lebo,0.0,0.07031,public,"[testing, M4O]",True,2019-03-11,2019-03-11,2024-06-25,https://kanegis.maps.arcgis.com/home/item.html?id=4117b7168a064918832dd3f672ff8fc8,0.07031
0101,6bd137ac09454736b0df82b4ae996688,,Web Map,153,gistsn,0.00039,0.0,private,[DGN],False,2018-05-23,2018-05-23,2024-03-27,https://kanegis.maps.arcgis.com/home/item.html?id=6bd137ac09454736b0df82b4ae996688,0.00039
12345abcde_qwerty,0eca45ea5d754f80994089d3b1d5af4e,https://services1.arcgis.com/oRKmdBXD6EbdmVgJ/arcgis/rest/services/12345abcde_qwerty/FeatureServer,Feature Service,848,KDOT_Lebo,0.0,0.00098,public,"[  kdl, delete]",True,2020-07-31,2020-07-31,2024-06-26,https://kanegis.maps.arcgis.com/home/item.html?id=0eca45ea5d754f80994089d3b1d5af4e,0.00098
16 Fiber,cc4318957b5046a2956c4962c8c9b51a,,Shapefile,0,KDOT_Johnson,0.03085,0.0,private,"[fiber, 16 fiber]",False,2018-02-28,2018-02-28,,https://kanegis.maps.arcgis.com/home/item.html?id=cc4318957b5046a2956c4962c8c9b51a,0.03085
190277Scrapes_shp,11062fc542b542fb95f88509d45bb308,https://services1.arcgis.com/oRKmdBXD6EbdmVgJ/arcgis/rest/services/190277Scrapes_shp/FeatureServer,Feature Service,96,FOR_Tegge,0.0,0.0625,org,,True,2023-10-31,2023-11-01,2024-05-03,https://kanegis.maps.arcgis.com/home/item.html?id=11062fc542b542fb95f88509d45bb308,0.0625
190277Scrapes_shp,819ba1cd1b194660adf1c0baa83ceea0,,Shapefile,1,FOR_Tegge,0.00473,0.0,private,,False,2023-10-31,2023-10-31,2023-10-31,https://kanegis.maps.arcgis.com/home/item.html?id=819ba1cd1b194660adf1c0baa83ceea0,0.00473
1be1606bb9ce4e179db055d33d7b8077.0,8510916b4b5642de9ade11a3e33c72b8,,CAD Drawing,6,Redistricting_AGOL,0.00056,0.0,private,"[Data, Map, Redistricting, Plan]",False,2021-10-28,2021-10-29,,https://kanegis.maps.arcgis.com/home/item.html?id=8510916b4b5642de9ade11a3e33c72b8,0.00056
2010Aerials,80c5986845b6487f8704da6f9dc477c0,http://utility.arcgis.com/usrsvcs/servers/80c5986845b6487f8704da6f9dc477c0/rest/services/2010Aerials/ImageServer,Image Service,2630,gistsn,7e-05,0.0,public,[KaneGIS],False,2016-08-31,2016-08-31,2024-05-04,https://kanegis.maps.arcgis.com/home/item.html?id=80c5986845b6487f8704da6f9dc477c0,7e-05
2014 Kane County Base Map,807bdd8e142a4eb89ad223d257931133,,Web Map,61,gistsn,0.00323,0.0,private,Kane County - Wayback,False,2021-01-11,2021-01-11,2024-03-27,https://kanegis.maps.arcgis.com/home/item.html?id=807bdd8e142a4eb89ad223d257931133,0.00323
